name1,name2,mean_mape1,mean_mape2,statistic,p_value,significant,effect_size,winner,n_folds,comparison_label,model,cohen_d,effect_interp
top_30,all,1.6463,1.5117,4.0,0.0137,True,0.8545,all,10,Top-30 vs All-118,LightGBM,0.1956,negligible
top_30,top_20,1.6463,3.231,0.0,0.002,True,1.0,top_30,10,Top-30 vs Top-20,LightGBM,1.1273,large
top_30,zabin_22,1.6463,4.048,0.0,0.002,True,1.0,top_30,10,Top-30 vs Zabin-22,LightGBM,1.4272,large
top_20,zabin_22,3.231,4.048,0.0,0.002,True,1.0,top_20,10,Top-20 vs Zabin-22,LightGBM,0.3918,small
top_50,all,1.6373,1.5117,1.0,0.0039,True,0.9636,all,10,Top-50 vs All-118,LightGBM,0.1762,negligible
top_10,lag_only,3.3801,3.7385,0.0,0.002,True,1.0,top_10,10,Top-10 vs Lag-only,LightGBM,0.182,negligible
lag_only,zabin_22,3.7385,4.048,5.0,0.0195,True,0.8182,lag_only,10,Lag-only vs Zabin-22,LightGBM,0.1444,negligible
calendar_only,lag_only,15.6607,3.7385,0.0,0.002,True,1.0,lag_only,10,Calendar-only vs Lag-only,LightGBM,3.8932,large
