,all,lag_only,top_10,top_20,top_30,top_5,top_50,zabin_22
all,1.0,0.0,0.0007,0.0081,0.1441,0.0,0.4652,0.0
lag_only,0.0,1.0,0.0613,0.0093,0.0002,0.5228,0.0,0.4378
top_10,0.0007,0.0613,1.0,0.4652,0.0552,0.2178,0.0081,0.0081
top_20,0.0081,0.0093,0.4652,1.0,0.2353,0.0497,0.0552,0.0007
top_30,0.1441,0.0002,0.0552,0.2353,1.0,0.0016,0.4652,0.0
top_5,0.0,0.5228,0.2178,0.0497,0.0016,1.0,0.0001,0.1571
top_50,0.4652,0.0,0.0081,0.0552,0.4652,0.0001,1.0,0.0
zabin_22,0.0,0.4378,0.0081,0.0007,0.0,0.1571,0.0,1.0
