,all,lag_only,top_10,top_20,top_30,top_5,top_50,zabin_22
all,1.0,0.0026,0.8551,0.5839,0.2733,0.0679,0.0285,0.0001
lag_only,0.0026,1.0,0.0014,0.0137,0.0,0.2353,0.0,0.3613
top_10,0.8551,0.0014,1.0,0.4652,0.3613,0.0446,0.0446,0.0
top_20,0.5839,0.0137,0.4652,1.0,0.1003,0.2012,0.0062,0.0007
top_30,0.2733,0.0,0.3613,0.1003,1.0,0.0035,0.2733,0.0
top_5,0.0679,0.2353,0.0446,0.2012,0.0035,1.0,0.0001,0.0358
top_50,0.0285,0.0,0.0446,0.0062,0.2733,0.0001,1.0,0.0
zabin_22,0.0001,0.3613,0.0,0.0007,0.0,0.0358,0.0,1.0
