,all,lag_only,top_10,top_20,top_30,top_5,top_50,zabin_22
all,1.0,0.1441,0.0081,0.3378,0.2178,0.2012,0.0828,0.3613
lag_only,0.1441,1.0,0.2353,0.6156,0.8195,0.8551,0.7842,0.5839
top_10,0.0081,0.2353,1.0,0.0913,0.1571,0.1709,0.3613,0.0828
top_20,0.3378,0.6156,0.0913,1.0,0.7842,0.7493,0.4378,0.9636
top_30,0.2178,0.8195,0.1571,0.7842,1.0,0.9636,0.6156,0.7493
top_5,0.2012,0.8551,0.1709,0.7493,0.9636,1.0,0.6481,0.715
top_50,0.0828,0.7842,0.3613,0.4378,0.6156,0.6481,1.0,0.4113
zabin_22,0.3613,0.5839,0.0828,0.9636,0.7493,0.715,0.4113,1.0
