,all,lag_only,top_10,top_20,top_30,top_5,top_50,zabin_22
all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lag_only,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
top_10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
top_20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
top_30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
top_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
top_50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zabin_22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
