,all,lag_only,top_10,top_20,top_30,top_5,top_50,zabin_22
all,1.0,0.0,0.0005,0.0106,0.2012,0.0,0.3613,0.0
lag_only,0.0,1.0,0.0679,0.0062,0.0001,0.5228,0.0,0.5228
top_10,0.0005,0.0679,1.0,0.3613,0.0285,0.2353,0.0106,0.0137
top_20,0.0106,0.0062,0.3613,1.0,0.2012,0.0358,0.1003,0.0007
top_30,0.2012,0.0001,0.0285,0.2012,1.0,0.0007,0.715,0.0
top_5,0.0,0.5228,0.2353,0.0358,0.0007,1.0,0.0002,0.2012
top_50,0.3613,0.0,0.0106,0.1003,0.715,0.0002,1.0,0.0
zabin_22,0.0,0.5228,0.0137,0.0007,0.0,0.2012,0.0,1.0
