iter	Passed	Remaining
408	6752	1502
409	6765	1485
410	6782	1468
411	6798	1452
412	6814	1435
413	6828	1418
414	6842	1401
415	6854	1384
416	6869	1367
417	6881	1349
418	6894	1332
419	6907	1315
420	6920	1298
421	6936	1282
422	6948	1264
423	6963	1248
424	6978	1231
425	6993	1214
426	7010	1198
427	7030	1182
428	7049	1166
429	7065	1150
430	7084	1134
431	7101	1117
432	7115	1101
433	7131	1084
434	7148	1068
435	7167	1052
436	7184	1035
437	7205	1019
438	7222	1003
439	7237	986
440	7253	970
441	7270	954
442	7284	937
443	7300	920
444	7316	904
445	7333	887
446	7350	871
447	7370	855
448	7386	839
449	7407	823
450	7429	807
451	7452	791
452	7477	775
453	7496	759
454	7521	743
455	7540	727
456	7561	711
457	7582	695
458	7607	679
459	7628	663
460	7648	647
461	7665	630
462	7682	613
463	7699	597
464	7721	581
465	7738	564
466	7752	547
467	7766	531
468	7779	514
469	7795	497
470	7810	480
471	7826	464
472	7843	447
473	7860	431
474	7878	414
475	7892	397
476	7908	381
477	7924	364
478	7941	348
479	7958	331
480	7973	314
481	7988	298
482	8002	281
483	8017	265
484	8030	248
485	8043	231
486	8057	215
487	8071	198
488	8087	181
489	8104	165
490	8119	148
491	8132	132
492	8148	115
493	8164	99
494	8179	82
495	8194	66
496	8212	49
497	8228	33
498	8251	16
499	8266	0
