iter	RMSE
388	10.07369813
389	10.06549566
390	10.05793314
391	10.05118463
392	10.04665946
393	10.04249031
394	10.03810825
395	10.03431316
396	10.02768953
397	10.02432368
398	10.01589568
399	10.0105982
400	10.00508689
401	9.999275799
402	9.994121294
403	9.988558084
404	9.984980862
405	9.979358553
406	9.974747294
407	9.967172501
408	9.959202946
409	9.955795853
410	9.950623805
411	9.946862245
412	9.941770714
413	9.934721271
414	9.930373016
415	9.926412275
416	9.920692278
417	9.91543916
418	9.908069095
419	9.902686255
420	9.89789564
421	9.890200876
422	9.885050321
423	9.88063564
424	9.876045592
425	9.872065888
426	9.868343728
427	9.861786457
428	9.851551346
429	9.848018433
430	9.842112388
431	9.836791502
432	9.831699173
433	9.828110192
434	9.823902935
435	9.820053198
436	9.815743468
437	9.811387433
438	9.803871896
439	9.797905726
440	9.791365041
441	9.78671139
442	9.781816412
443	9.775920038
444	9.770941477
445	9.767809397
446	9.763221075
447	9.75557408
448	9.752247497
449	9.744607603
450	9.739103714
451	9.734069418
452	9.72970229
453	9.72449556
454	9.718906763
455	9.713292578
456	9.709902023
457	9.70564251
458	9.696905685
459	9.693755829
460	9.687342205
461	9.684885883
462	9.681780155
463	9.675669979
464	9.668594299
465	9.662177835
466	9.655412678
467	9.649595067
468	9.646575152
469	9.641738686
470	9.637305284
471	9.635127932
472	9.631001191
473	9.624222242
474	9.618462879
475	9.614493152
476	9.607862203
477	9.601926085
478	9.596933351
479	9.594533483
480	9.588746678
481	9.584150084
482	9.58011131
483	9.574128896
484	9.569850415
485	9.567393713
486	9.559998674
487	9.553903066
488	9.545233546
489	9.54100612
490	9.536493387
491	9.532676553
492	9.526551042
493	9.521634814
494	9.517354808
495	9.513394551
496	9.508614747
497	9.504157361
498	9.499971407
499	9.494062618
