iter	RMSE
0	43.78632689
1	42.11349387
2	40.54944199
3	39.06869113
4	37.68409539
5	36.35787874
6	35.10262429
7	33.92105167
8	32.82691694
9	31.77954536
10	30.80085818
11	29.86595071
12	28.97989928
13	28.16027916
14	27.37505794
15	26.63673443
16	25.95135988
17	25.30830093
18	24.68318106
19	24.11719481
20	23.57005631
21	23.06719714
22	22.60219694
23	22.16392107
24	21.73497243
25	21.3464382
26	20.99403056
27	20.65314171
28	20.33084419
29	20.03545979
30	19.73942105
31	19.4774675
32	19.20309826
33	18.96203716
34	18.72273746
35	18.47194571
36	18.25134291
37	18.05555881
38	17.85920077
39	17.66678609
40	17.48551605
41	17.32340473
42	17.16520135
43	17.0192226
44	16.87903254
45	16.7598026
46	16.62574666
47	16.49441491
48	16.39120996
49	16.28623204
50	16.17011497
51	16.07732765
52	15.99757489
53	15.9244699
54	15.83804447
55	15.75431963
56	15.67979769
57	15.61225273
58	15.53042481
59	15.48039089
60	15.40853673
61	15.30271449
62	15.24008983
63	15.17291314
64	15.07392749
65	15.03497045
66	14.97857586
67	14.92526604
68	14.87565771
69	14.8335684
70	14.7496201
71	14.71442878
72	14.66528467
73	14.62511632
74	14.56972929
75	14.53870631
76	14.50578007
77	14.47482902
78	14.42727812
79	14.39781521
80	14.35633992
81	14.32441872
82	14.25643444
83	14.21881984
84	14.19167096
85	14.17006416
86	14.14421531
87	14.08988884
88	14.0376272
89	14.01011411
90	13.99081986
91	13.93968689
92	13.88355387
93	13.8427999
94	13.80203503
95	13.76455075
96	13.73467651
97	13.70970466
98	13.68116158
99	13.65947744
100	13.63553249
101	13.6021845
102	13.58003466
103	13.55470544
104	13.52477012
105	13.49098426
106	13.47422637
107	13.4476024
108	13.41687336
109	13.3983844
110	13.36447217
111	13.33765033
112	13.31088223
113	13.28395886
114	13.26962181
115	13.24544487
116	13.21763959
117	13.18628422
118	13.17462222
119	13.14628014
120	13.12990944
121	13.1104957
122	13.08964041
123	13.06443543
124	13.03859343
125	13.01407097
126	13.00102534
127	12.97818886
128	12.95896887
129	12.93660041
130	12.91750427
131	12.90011857
132	12.88176706
133	12.85733713
134	12.84316011
135	12.83080759
136	12.81161739
137	12.79555445
138	12.78046775
139	12.76259214
140	12.7466491
141	12.72700288
142	12.7101493
143	12.68967619
144	12.67096189
145	12.65346255
146	12.63406483
147	12.61578107
148	12.60281322
149	12.5715028
150	12.55770761
151	12.54527055
152	12.52536349
153	12.5125727
154	12.48334514
155	12.46901378
156	12.45030294
157	12.4336412
158	12.41788082
159	12.40074354
160	12.3862571
161	12.36868759
162	12.35467895
163	12.33974438
164	12.32682803
165	12.31081013
166	12.29185107
167	12.28190249
168	12.26806957
169	12.2588273
170	12.23747024
171	12.22191971
172	12.20966491
173	12.1841361
174	12.17277729
175	12.15945784
176	12.14756834
177	12.13092556
178	12.112462
179	12.10022287
180	12.07805287
181	12.06242155
182	12.05153674
183	12.03832856
184	12.02191803
185	12.00639454
186	11.99437766
187	11.97348493
188	11.95661686
189	11.94634617
190	11.92497366
191	11.91040233
192	11.89917683
193	11.8851806
194	11.86845278
195	11.85636982
196	11.84744244
197	11.83263964
198	11.82171245
199	11.81310314
200	11.79845715
201	11.7746466
202	11.76799145
203	11.75234348
204	11.74016602
205	11.72761066
206	11.71016956
207	11.69829086
208	11.68724
209	11.67522613
210	11.66672076
211	11.65365646
212	11.63048066
213	11.61841843
214	11.60318032
215	11.59321209
216	11.58375032
217	11.57291509
218	11.5615324
219	11.55137567
220	11.52997077
221	11.51789839
222	11.5089032
223	11.49887032
224	11.48439833
225	11.47533698
226	11.45770027
227	11.44679827
228	11.43312142
229	11.41985987
230	11.41117142
231	11.39951374
232	11.38886262
233	11.37805618
234	11.36905496
235	11.34988131
236	11.33631027
237	11.31951136
238	11.3031162
239	11.29106349
240	11.28154972
241	11.27382807
242	11.26083853
243	11.25004946
244	11.23940885
245	11.22989983
246	11.21393278
247	11.20514553
248	11.19757248
249	11.18551353
250	11.17068393
251	11.15987658
252	11.14642175
253	11.13420518
254	11.12700302
255	11.11896528
256	11.1066467
257	11.09757479
258	11.08680494
259	11.08189786
260	11.07010168
261	11.05570558
262	11.04555253
263	11.03836774
264	11.02695897
265	11.01828601
266	11.00940593
267	11.00143702
268	10.99168897
269	10.9813914
270	10.97460126
271	10.96501098
272	10.95017723
273	10.93976242
274	10.92930836
275	10.9191009
276	10.90971307
277	10.90155529
278	10.89519202
279	10.88542978
280	10.87758095
281	10.86943382
282	10.85974888
283	10.8514402
284	10.84479727
285	10.8345618
286	10.82403256
287	10.81497939
288	10.80506601
289	10.79551754
290	10.78522663
291	10.77731748
292	10.77153681
293	10.76266286
294	10.75544316
295	10.74267981
296	10.73116185
297	10.72366338
298	10.71220874
299	10.70366236
300	10.6982034
301	10.68844194
302	10.68061972
303	10.67282602
304	10.66625279
305	10.6561148
306	10.64826241
307	10.64168787
308	10.63195658
309	10.62363535
310	10.61244505
311	10.60382345
312	10.59614355
313	10.59001056
314	10.57863907
315	10.56855569
316	10.56096194
317	10.55356318
318	10.54545501
319	10.53948937
320	10.53228119
321	10.52561894
322	10.51815777
323	10.50879811
324	10.50017594
325	10.49337213
326	10.48562085
327	10.47960345
328	10.47101091
329	10.45728869
330	10.45055959
331	10.44017497
332	10.43280738
333	10.42550954
334	10.41951062
335	10.41444535
336	10.40686685
337	10.39875283
338	10.39172045
339	10.38522035
340	10.37983121
341	10.37370331
342	10.3671887
343	10.35887845
344	10.35215449
345	10.34446648
346	10.33842149
347	10.32894438
348	10.32536869
349	10.31838869
350	10.31393733
351	10.3072337
352	10.30257879
353	10.29824512
354	10.29080886
355	10.27880273
356	10.2685901
357	10.26140083
358	10.25218143
359	10.24606034
360	10.23862446
361	10.2330301
362	10.22857929
363	10.22243866
364	10.21392345
365	10.20767345
366	10.2009486
367	10.1949627
368	10.18973259
369	10.182253
370	10.17889619
371	10.17061678
372	10.16328155
373	10.1583896
374	10.15068638
375	10.14577609
376	10.13952616
377	10.13409435
378	10.12739446
379	10.12149496
380	10.11843502
381	10.11273316
382	10.1073001
383	10.10211217
384	10.09620314
385	10.09063277
386	10.08066064
387	10.07669678
