model,MAE,RMSE,MAPE,sMAPE,R2,MASE,train_time_s,fold,subset_name,n_features,train_rows,test_rows,model_key
Ridge,11.823,21.517,7.747,7.463,0.7804,0.422,0.03,8,lag_only,7,51504,2920,ridge
Ridge,6.128,7.886,4.142,4.128,0.981,0.453,0.02,9,lag_only,7,54424,2920,ridge
Ridge,5.5,7.634,4.972,4.481,0.9728,0.429,0.03,10,lag_only,7,57344,2920,ridge
Ridge,6.783,9.708,4.431,4.414,0.947,0.515,0.03,1,zabin_22,22,31064,2920,ridge
Ridge,15.695,24.21,10.595,10.362,0.664,0.568,0.03,2,zabin_22,22,33984,2920,ridge
Ridge,6.951,8.947,5.029,4.979,0.9633,0.484,0.04,3,zabin_22,22,36904,2920,ridge
Ridge,5.92,8.12,4.156,4.127,0.9649,0.502,0.03,4,zabin_22,22,39824,2920,ridge
Ridge,17.212,28.761,11.006,10.498,0.5963,0.672,0.03,5,zabin_22,22,42744,2920,ridge
Ridge,7.339,9.486,4.982,4.929,0.9744,0.494,0.04,6,zabin_22,22,45664,2920,ridge
Ridge,6.557,8.959,4.443,4.414,0.9623,0.529,0.03,7,zabin_22,22,48584,2920,ridge
Ridge,15.669,23.695,10.063,9.928,0.7337,0.56,0.05,8,zabin_22,22,51504,2920,ridge
Ridge,6.937,8.901,4.841,4.764,0.9758,0.513,0.06,9,zabin_22,22,54424,2920,ridge
Ridge,6.583,9.505,5.815,5.297,0.9578,0.513,0.07,10,zabin_22,22,57344,2920,ridge
Lasso,5.276,7.183,3.413,3.417,0.971,0.4,0.01,1,top_5,5,31064,2920,lasso
Lasso,11.371,21.491,7.679,7.456,0.7352,0.411,0.03,2,top_5,5,33984,2920,lasso
Lasso,6.092,7.554,4.336,4.314,0.9738,0.424,0.03,3,top_5,5,36904,2920,lasso
Lasso,4.881,6.447,3.343,3.339,0.9779,0.414,0.02,4,top_5,5,39824,2920,lasso
Lasso,12.705,26.902,8.082,7.683,0.6468,0.496,0.03,5,top_5,5,42744,2920,lasso
Lasso,6.732,8.464,4.446,4.425,0.9796,0.453,0.04,6,top_5,5,45664,2920,lasso
Lasso,5.407,7.199,3.556,3.55,0.9757,0.437,0.03,7,top_5,5,48584,2920,lasso
Lasso,11.558,21.673,7.572,7.295,0.7772,0.413,0.04,8,top_5,5,51504,2920,lasso
Lasso,6.438,8.102,4.33,4.302,0.9799,0.476,0.02,9,top_5,5,54424,2920,lasso
Lasso,5.367,7.446,4.643,4.275,0.9741,0.418,0.03,10,top_5,5,57344,2920,lasso
Lasso,4.917,6.828,3.198,3.201,0.9738,0.373,0.12,1,top_10,10,31064,2920,lasso
Lasso,11.202,21.063,7.465,7.341,0.7457,0.405,0.12,2,top_10,10,33984,2920,lasso
Lasso,5.313,6.657,3.842,3.805,0.9797,0.37,0.11,3,top_10,10,36904,2920,lasso
Lasso,4.442,5.902,3.097,3.086,0.9815,0.377,0.12,4,top_10,10,39824,2920,lasso
Lasso,12.561,26.405,7.853,7.592,0.6597,0.49,0.13,5,top_10,10,42744,2920,lasso
Lasso,5.69,7.15,3.885,3.842,0.9855,0.383,0.13,6,top_10,10,45664,2920,lasso
Lasso,4.794,6.356,3.232,3.22,0.981,0.387,0.13,7,top_10,10,48584,2920,lasso
Lasso,11.534,21.146,7.453,7.268,0.7879,0.412,0.17,8,top_10,10,51504,2920,lasso
Lasso,5.343,6.721,3.718,3.672,0.9862,0.395,0.14,9,top_10,10,54424,2920,lasso
Lasso,4.797,6.789,4.289,3.92,0.9785,0.374,0.16,10,top_10,10,57344,2920,lasso
Lasso,5.1,6.788,3.329,3.36,0.9741,0.387,0.3,1,top_20,20,31064,2920,lasso
Lasso,10.497,19.056,6.986,6.872,0.7918,0.38,0.37,2,top_20,20,33984,2920,lasso
Lasso,4.775,6.069,3.402,3.413,0.9831,0.332,0.36,3,top_20,20,36904,2920,lasso
Lasso,4.233,5.597,2.961,2.987,0.9833,0.359,0.42,4,top_20,20,39824,2920,lasso
Lasso,11.744,23.545,7.351,7.122,0.7294,0.458,0.42,5,top_20,20,42744,2920,lasso
Lasso,4.805,6.232,3.289,3.27,0.989,0.323,0.52,6,top_20,20,45664,2920,lasso
Lasso,4.377,5.756,2.976,2.985,0.9844,0.353,0.6,7,top_20,20,48584,2920,lasso
Lasso,10.799,18.92,6.931,6.725,0.8302,0.386,0.57,8,top_20,20,51504,2920,lasso
Lasso,4.498,5.862,3.132,3.114,0.9895,0.332,0.68,9,top_20,20,54424,2920,lasso
Lasso,4.751,6.911,4.459,3.991,0.9777,0.37,0.91,10,top_20,20,57344,2920,lasso
Lasso,5.447,6.9,3.701,3.764,0.9732,0.413,0.35,1,top_30,30,31064,2920,lasso
Lasso,7.726,12.631,5.307,5.268,0.9085,0.279,0.35,2,top_30,30,33984,2920,lasso
Lasso,4.696,5.895,3.418,3.436,0.9841,0.327,0.6,3,top_30,30,36904,2920,lasso
Lasso,5.051,6.371,3.641,3.712,0.9784,0.428,0.62,4,top_30,30,39824,2920,lasso
Lasso,8.202,14.379,5.283,5.155,0.8991,0.32,0.67,5,top_30,30,42744,2920,lasso
Lasso,5.065,6.359,3.617,3.596,0.9885,0.341,0.65,6,top_30,30,45664,2920,lasso
Lasso,5.176,6.51,3.593,3.635,0.9801,0.418,0.75,7,top_30,30,48584,2920,lasso
Lasso,7.311,11.183,4.873,4.787,0.9407,0.261,0.75,8,top_30,30,51504,2920,lasso
Lasso,4.887,6.133,3.537,3.518,0.9885,0.361,0.83,9,top_30,30,54424,2920,lasso
Lasso,5.124,7.707,5.202,4.455,0.9723,0.399,0.95,10,top_30,30,57344,2920,lasso
Lasso,5.169,6.65,3.499,3.555,0.9751,0.392,1.03,1,top_50,50,31064,2920,lasso
Lasso,7.336,11.616,4.985,4.966,0.9227,0.265,1.15,2,top_50,50,33984,2920,lasso
Lasso,4.471,5.647,3.17,3.205,0.9854,0.311,1.42,3,top_50,50,36904,2920,lasso
Lasso,4.448,5.888,3.177,3.238,0.9816,0.377,1.73,4,top_50,50,39824,2920,lasso
Lasso,7.825,12.884,5.039,4.924,0.919,0.306,1.78,5,top_50,50,42744,2920,lasso
Lasso,4.513,5.733,3.148,3.146,0.9907,0.304,1.93,6,top_50,50,45664,2920,lasso
Lasso,4.71,6.006,3.277,3.298,0.9831,0.38,1.95,7,top_50,50,48584,2920,lasso
Lasso,6.722,10.13,4.411,4.345,0.9513,0.24,2.15,8,top_50,50,51504,2920,lasso
Lasso,4.244,5.398,3.002,2.995,0.9911,0.314,2.34,9,top_50,50,54424,2920,lasso
Lasso,4.788,7.496,5.023,4.228,0.9738,0.373,2.68,10,top_50,50,57344,2920,lasso
Lasso,4.623,6.081,3.12,3.13,0.9792,0.351,1.32,1,all,115,31064,2920,lasso
Lasso,6.589,10.495,4.621,4.548,0.9369,0.238,1.3,2,all,115,33984,2920,lasso
Lasso,4.222,5.342,3.044,3.019,0.9869,0.294,1.88,3,all,115,36904,2920,lasso
Lasso,3.958,5.143,2.861,2.866,0.9859,0.336,1.85,4,all,115,39824,2920,lasso
Lasso,7.161,11.576,4.762,4.615,0.9346,0.28,1.8,5,all,115,42744,2920,lasso
Lasso,4.607,5.904,3.291,3.226,0.9901,0.31,2.36,6,all,115,45664,2920,lasso
Lasso,4.585,5.855,3.228,3.199,0.9839,0.37,2.39,7,all,115,48584,2920,lasso
Lasso,6.089,9.163,4.103,4.011,0.9602,0.217,2.57,8,all,115,51504,2920,lasso
Lasso,4.34,5.542,3.09,3.043,0.9906,0.321,2.69,9,all,115,54424,2920,lasso
Lasso,4.899,7.615,5.199,4.318,0.9729,0.382,2.67,10,all,115,57344,2920,lasso
Lasso,30.15,39.868,18.656,19.333,0.1056,2.288,0.03,1,calendar_only,8,31064,2920,lasso
Lasso,34.975,44.744,23.734,23.805,-0.1477,1.265,0.05,2,calendar_only,8,33984,2920,lasso
Lasso,32.622,40.686,22.803,22.23,0.2404,2.271,0.03,3,calendar_only,8,36904,2920,lasso
Lasso,30.048,39.717,20.636,20.097,0.1612,2.549,0.05,4,calendar_only,8,39824,2920,lasso
Lasso,40.945,50.71,25.096,26.31,-0.2551,1.599,0.05,5,calendar_only,8,42744,2920,lasso
Lasso,44.035,55.765,27.54,27.846,0.1161,2.964,0.06,6,calendar_only,8,45664,2920,lasso
Lasso,31.846,42.29,20.126,20.308,0.1602,2.571,0.08,7,calendar_only,8,48584,2920,lasso
Lasso,41.061,50.783,25.189,26.085,-0.2232,1.467,0.05,8,calendar_only,8,51504,2920,lasso
Lasso,41.78,52.142,27.357,26.942,0.1693,3.088,0.05,9,calendar_only,8,54424,2920,lasso
Lasso,35.45,43.663,30.556,25.105,0.1098,2.763,0.05,10,calendar_only,8,57344,2920,lasso
Lasso,5.555,7.497,3.624,3.63,0.9684,0.422,0.02,1,lag_only,7,31064,2920,lasso
Lasso,11.818,21.307,8.037,7.833,0.7397,0.427,0.03,2,lag_only,7,33984,2920,lasso
Lasso,5.929,7.501,4.201,4.194,0.9742,0.413,0.02,3,lag_only,7,36904,2920,lasso
Lasso,5.007,6.604,3.485,3.476,0.9768,0.425,0.03,4,lag_only,7,39824,2920,lasso
Lasso,12.959,26.526,8.245,7.901,0.6566,0.506,0.03,5,lag_only,7,42744,2920,lasso
Lasso,6.633,8.501,4.379,4.373,0.9795,0.446,0.03,6,lag_only,7,45664,2920,lasso
Lasso,5.517,7.225,3.667,3.664,0.9755,0.445,0.03,7,lag_only,7,48584,2920,lasso
Lasso,11.792,21.352,7.732,7.453,0.7837,0.421,0.03,8,lag_only,7,51504,2920,lasso
Lasso,6.261,8.031,4.232,4.218,0.9803,0.463,0.03,9,lag_only,7,54424,2920,lasso
Lasso,5.601,7.74,5.05,4.554,0.972,0.437,0.05,10,lag_only,7,57344,2920,lasso
Lasso,7.208,10.15,4.697,4.672,0.942,0.547,0.2,1,zabin_22,22,31064,2920,lasso
Lasso,15.812,24.009,10.705,10.451,0.6695,0.572,0.23,2,zabin_22,22,33984,2920,lasso
Lasso,7.39,9.446,5.281,5.243,0.9591,0.515,0.23,3,zabin_22,22,36904,2920,lasso
Lasso,6.359,8.649,4.421,4.39,0.9602,0.539,0.27,4,zabin_22,22,39824,2920,lasso
Lasso,17.234,28.462,11.034,10.512,0.6046,0.673,0.3,5,zabin_22,22,42744,2920,lasso
Lasso,7.838,10.12,5.223,5.182,0.9709,0.528,0.28,6,zabin_22,22,45664,2920,lasso
Lasso,6.953,9.332,4.674,4.643,0.9591,0.561,0.3,7,zabin_22,22,48584,2920,lasso
Lasso,15.836,23.758,10.194,10.032,0.7323,0.566,0.35,8,zabin_22,22,51504,2920,lasso
Lasso,7.363,9.433,5.012,4.954,0.9728,0.544,0.37,9,zabin_22,22,54424,2920,lasso
Lasso,6.896,9.981,6.185,5.521,0.9535,0.537,0.4,10,zabin_22,22,57344,2920,lasso
GAM,5.377,7.207,3.503,3.506,0.9708,0.408,0.99,1,top_5,5,31064,2920,gam
GAM,11.307,21.436,7.564,7.348,0.7366,0.409,1.1,2,top_5,5,33984,2920,gam
GAM,5.889,7.386,4.161,4.135,0.975,0.41,1.22,3,top_5,5,36904,2920,gam
GAM,4.835,6.385,3.303,3.302,0.9783,0.41,1.24,4,top_5,5,39824,2920,gam
GAM,12.823,26.816,8.112,7.739,0.649,0.501,1.35,5,top_5,5,42744,2920,gam
GAM,6.702,8.52,4.311,4.301,0.9794,0.451,1.48,6,top_5,5,45664,2920,gam
GAM,5.296,7.033,3.48,3.476,0.9768,0.428,1.7,7,top_5,5,48584,2920,gam
GAM,11.64,21.771,7.537,7.251,0.7752,0.416,1.72,8,top_5,5,51504,2920,gam
GAM,5.994,7.741,3.972,3.952,0.9817,0.443,1.77,9,top_5,5,54424,2920,gam
GAM,5.675,9.331,5.491,4.656,0.9593,0.442,1.87,10,top_5,5,57344,2920,gam
GAM,5.754,7.51,3.774,3.82,0.9683,0.437,2.23,1,top_10,10,31064,2920,gam
GAM,9.539,16.606,6.319,6.247,0.8419,0.345,2.32,2,top_10,10,33984,2920,gam
GAM,4.607,5.995,3.231,3.249,0.9835,0.321,2.43,3,top_10,10,36904,2920,gam
GAM,5.037,6.639,3.451,3.521,0.9766,0.427,2.77,4,top_10,10,39824,2920,gam
GAM,11.153,21.038,6.97,6.76,0.784,0.435,5.44,5,top_10,10,42744,2920,gam
GAM,4.825,6.282,3.325,3.297,0.9888,0.325,6.36,6,top_10,10,45664,2920,gam
GAM,5.226,6.7,3.551,3.573,0.9789,0.422,7.2,7,top_10,10,48584,2920,gam
GAM,10.414,16.945,6.736,6.552,0.8638,0.372,6.02,8,top_10,10,51504,2920,gam
GAM,4.603,5.9,3.223,3.205,0.9894,0.34,5.29,9,top_10,10,54424,2920,gam
GAM,5.039,8.47,5.164,4.325,0.9665,0.393,4.41,10,top_10,10,57344,2920,gam
GAM,5.604,7.26,3.742,3.774,0.9703,0.425,5.21,1,top_20,20,31064,2920,gam
GAM,8.869,14.766,5.927,5.863,0.875,0.321,5.43,2,top_20,20,33984,2920,gam
GAM,4.546,5.816,3.249,3.271,0.9845,0.317,5.97,3,top_20,20,36904,2920,gam
GAM,4.62,6.117,3.226,3.281,0.9801,0.392,6.58,4,top_20,20,39824,2920,gam
GAM,10.5,18.351,6.653,6.441,0.8356,0.41,8.66,5,top_20,20,42744,2920,gam
GAM,4.693,6.188,3.178,3.162,0.9891,0.316,8.37,6,top_20,20,45664,2920,gam
GAM,4.737,6.082,3.236,3.249,0.9826,0.382,7.78,7,top_20,20,48584,2920,gam
GAM,10.187,15.676,6.507,6.359,0.8834,0.364,8.62,8,top_20,20,51504,2920,gam
GAM,4.415,5.666,3.097,3.08,0.9902,0.326,8.56,9,top_20,20,54424,2920,gam
GAM,5.497,10.291,5.638,4.746,0.9505,0.428,8.9,10,top_20,20,57344,2920,gam
GAM,3.308,4.478,2.225,2.234,0.9887,0.251,10.03,1,top_30,30,31064,2920,gam
GAM,4.796,7.516,3.342,3.337,0.9676,0.173,9.26,2,top_30,30,33984,2920,gam
GAM,2.914,3.827,2.103,2.106,0.9933,0.203,11.29,3,top_30,30,36904,2920,gam
GAM,2.848,3.847,2.035,2.05,0.9921,0.242,11.47,4,top_30,30,39824,2920,gam
GAM,4.853,7.297,3.115,3.099,0.974,0.189,11.86,5,top_30,30,42744,2920,gam
GAM,2.95,3.992,2.033,2.029,0.9955,0.199,13.64,6,top_30,30,45664,2920,gam
GAM,3.103,4.335,2.16,2.165,0.9912,0.251,15.24,7,top_30,30,48584,2920,gam
GAM,4.522,6.798,2.947,2.934,0.9781,0.162,14.92,8,top_30,30,51504,2920,gam
GAM,2.698,3.625,1.885,1.881,0.996,0.199,16.83,9,top_30,30,54424,2920,gam
GAM,4.225,11.524,6.748,3.792,0.938,0.329,17.36,10,top_30,30,57344,2920,gam
GAM,3.048,4.11,2.027,2.031,0.9905,0.231,19.98,1,top_50,50,31064,2920,gam
GAM,4.58,7.215,3.175,3.163,0.9702,0.166,19.53,2,top_50,50,33984,2920,gam
GAM,2.791,3.614,2.01,2.017,0.994,0.194,21.55,3,top_50,50,36904,2920,gam
GAM,2.55,3.423,1.803,1.812,0.9938,0.216,25.69,4,top_50,50,39824,2920,gam
GAM,4.753,7.296,3.061,3.031,0.974,0.186,26.12,5,top_50,50,42744,2920,gam
GAM,2.761,3.696,1.912,1.911,0.9961,0.186,28.9,6,top_50,50,45664,2920,gam
GAM,2.894,3.915,2.03,2.028,0.9928,0.234,30.49,7,top_50,50,48584,2920,gam
GAM,4.457,6.632,2.883,2.852,0.9791,0.159,32.47,8,top_50,50,51504,2920,gam
GAM,2.456,3.279,1.741,1.741,0.9967,0.181,56.37,9,top_50,50,54424,2920,gam
GAM,3.358,5.887,3.991,3.158,0.9838,0.262,51.33,10,top_50,50,57344,2920,gam
GAM,5.079,6.305,3.684,3.582,0.9776,0.385,116.34,1,all,115,31064,2920,gam
GAM,4.559,7.048,3.229,3.171,0.9715,0.165,130.81,2,all,115,33984,2920,gam
GAM,2.924,3.761,2.058,2.077,0.9935,0.204,132.2,3,all,115,36904,2920,gam
GAM,3.445,4.327,2.658,2.611,0.99,0.292,131.72,4,all,115,39824,2920,gam
GAM,4.639,7.469,2.948,2.955,0.9728,0.181,133.35,5,all,115,42744,2920,gam
GAM,2.627,3.485,1.784,1.779,0.9965,0.177,144.17,6,all,115,45664,2920,gam
GAM,2.7,3.543,1.913,1.902,0.9941,0.218,150.53,7,all,115,48584,2920,gam
GAM,4.545,6.603,2.932,2.928,0.9793,0.162,155.75,8,all,115,51504,2920,gam
GAM,2.461,3.202,1.692,1.684,0.9969,0.182,164.25,9,all,115,54424,2920,gam
GAM,4.717,13.722,7.581,4.161,0.9121,0.368,180.46,10,all,115,57344,2920,gam
GAM,26.288,35.47,16.597,17.614,0.292,1.995,1.64,1,calendar_only,8,31064,2920,gam
GAM,33.913,44.508,22.289,23.163,-0.1357,1.226,1.83,2,calendar_only,8,33984,2920,gam
GAM,24.332,31.116,16.583,16.553,0.5557,1.694,2.02,3,calendar_only,8,36904,2920,gam
GAM,20.211,26.581,13.924,13.762,0.6243,1.714,1.97,4,calendar_only,8,39824,2920,gam
GAM,36.124,46.298,21.393,23.096,-0.0462,1.41,2.09,5,calendar_only,8,42744,2920,gam
GAM,28.667,40.956,15.663,16.989,0.5233,1.93,2.18,6,calendar_only,8,45664,2920,gam
GAM,23.849,31.682,15.169,15.654,0.5287,1.926,2.31,7,calendar_only,8,48584,2920,gam
GAM,40.369,50.838,24.376,25.713,-0.2259,1.442,2.58,8,calendar_only,8,51504,2920,gam
GAM,25.98,36.176,15.383,15.91,0.6001,1.92,2.73,9,calendar_only,8,54424,2920,gam
GAM,24.76,33.398,23.502,17.938,0.4792,1.93,2.9,10,calendar_only,8,57344,2920,gam
GAM,5.671,7.641,3.722,3.719,0.9671,0.43,1.56,1,lag_only,7,31064,2920,gam
GAM,11.814,21.2,7.976,7.777,0.7423,0.427,1.87,2,lag_only,7,33984,2920,gam
GAM,5.757,7.356,4.024,4.018,0.9752,0.401,1.59,3,lag_only,7,36904,2920,gam
GAM,4.862,6.441,3.394,3.381,0.9779,0.412,1.64,4,lag_only,7,39824,2920,gam
GAM,13.083,26.393,8.245,7.919,0.66,0.511,1.74,5,lag_only,7,42744,2920,gam
GAM,6.463,8.359,4.172,4.175,0.9801,0.435,1.95,6,lag_only,7,45664,2920,gam
GAM,5.301,7.001,3.526,3.52,0.977,0.428,2.08,7,lag_only,7,48584,2920,gam
GAM,11.868,21.518,7.657,7.377,0.7804,0.424,2.21,8,lag_only,7,51504,2920,gam
GAM,5.838,7.599,3.891,3.887,0.9824,0.431,2.34,9,lag_only,7,54424,2920,gam
GAM,5.877,9.763,5.836,4.884,0.9555,0.458,2.53,10,lag_only,7,57344,2920,gam
GAM,7.153,9.288,4.83,4.803,0.9515,0.543,5.17,1,zabin_22,22,31064,2920,gam
GAM,14.009,21.899,9.411,9.225,0.7251,0.507,5.53,2,zabin_22,22,33984,2920,gam
GAM,6.423,8.195,4.73,4.65,0.9692,0.447,6.27,3,zabin_22,22,36904,2920,gam
GAM,6.239,8.086,4.542,4.502,0.9652,0.529,6.75,4,zabin_22,22,39824,2920,gam
GAM,16.456,31.694,10.964,9.944,0.5097,0.642,7.33,5,zabin_22,22,42744,2920,gam
GAM,7.108,9.553,4.563,4.564,0.9741,0.478,7.91,6,zabin_22,22,45664,2920,gam
GAM,6.422,8.287,4.443,4.424,0.9678,0.519,8.49,7,zabin_22,22,48584,2920,gam
GAM,14.146,22.034,9.023,8.814,0.7697,0.505,8.99,8,zabin_22,22,51504,2920,gam
GAM,6.202,7.991,4.345,4.28,0.9805,0.458,9.49,9,zabin_22,22,54424,2920,gam
GAM,7.82,14.939,8.866,6.441,0.8958,0.609,10.59,10,zabin_22,22,57344,2920,gam
ElasticNet,6.94,9.331,4.512,4.505,0.951,0.527,0.17,1,top_5,5,31064,2920,enet
ElasticNet,12.866,20.744,8.751,8.515,0.7533,0.465,0.02,2,top_5,5,33984,2920,enet
ElasticNet,8.013,9.831,5.717,5.675,0.9557,0.558,0.02,3,top_5,5,36904,2920,enet
ElasticNet,6.412,8.453,4.409,4.388,0.962,0.544,0.02,4,top_5,5,39824,2920,enet
ElasticNet,13.786,25.084,8.816,8.433,0.6929,0.538,0.03,5,top_5,5,42744,2920,enet
ElasticNet,8.668,10.84,5.724,5.684,0.9666,0.583,0.03,6,top_5,5,45664,2920,enet
ElasticNet,7.027,9.299,4.628,4.609,0.9594,0.567,0.02,7,top_5,5,48584,2920,enet
ElasticNet,13.059,21.101,8.593,8.285,0.7888,0.466,0.03,8,top_5,5,51504,2920,enet
ElasticNet,8.386,10.499,5.637,5.585,0.9663,0.62,0.03,9,top_5,5,54424,2920,enet
ElasticNet,7.05,9.707,6.113,5.535,0.956,0.549,0.04,10,top_5,5,57344,2920,enet
ElasticNet,6.706,9.036,4.4,4.394,0.9541,0.509,0.05,1,top_10,10,31064,2920,enet
ElasticNet,13.053,20.891,8.696,8.622,0.7498,0.472,0.04,2,top_10,10,33984,2920,enet
ElasticNet,7.393,9.086,5.369,5.295,0.9621,0.515,0.04,3,top_10,10,36904,2920,enet
ElasticNet,6.113,7.957,4.281,4.247,0.9663,0.518,0.05,4,top_10,10,39824,2920,enet
ElasticNet,14.048,25.277,8.746,8.581,0.6882,0.548,0.04,5,top_10,10,42744,2920,enet
ElasticNet,7.916,9.813,5.369,5.282,0.9726,0.533,0.07,6,top_10,10,45664,2920,enet
ElasticNet,6.576,8.562,4.416,4.382,0.9656,0.531,0.06,7,top_10,10,48584,2920,enet
ElasticNet,13.394,21.36,8.629,8.474,0.7836,0.478,0.07,8,top_10,10,51504,2920,enet
ElasticNet,7.615,9.449,5.267,5.172,0.9727,0.563,0.09,9,top_10,10,54424,2920,enet
ElasticNet,6.694,9.253,5.999,5.353,0.96,0.522,0.1,10,top_10,10,57344,2920,enet
ElasticNet,6.295,8.303,4.161,4.163,0.9612,0.478,0.15,1,top_20,20,31064,2920,enet
ElasticNet,12.493,20.005,8.408,8.265,0.7706,0.452,0.16,2,top_20,20,33984,2920,enet
ElasticNet,6.107,7.603,4.411,4.391,0.9735,0.425,0.2,3,top_20,20,36904,2920,enet
ElasticNet,5.432,7.127,3.786,3.778,0.973,0.461,0.29,4,top_20,20,39824,2920,enet
ElasticNet,13.602,24.129,8.543,8.33,0.7158,0.531,0.28,5,top_20,20,42744,2920,enet
ElasticNet,6.654,8.357,4.513,4.48,0.9802,0.448,0.33,6,top_20,20,45664,2920,enet
ElasticNet,5.875,7.57,3.961,3.949,0.9731,0.474,0.47,7,top_20,20,48584,2920,enet
ElasticNet,12.655,20.277,8.149,7.927,0.805,0.452,0.31,8,top_20,20,51504,2920,enet
ElasticNet,6.091,7.743,4.203,4.165,0.9817,0.45,0.31,9,top_20,20,54424,2920,enet
ElasticNet,6.268,8.741,5.513,5.052,0.9643,0.489,0.3,10,top_20,20,57344,2920,enet
ElasticNet,6.248,8.07,4.157,4.232,0.9634,0.474,0.48,1,top_30,30,31064,2920,enet
ElasticNet,9.441,14.583,6.442,6.37,0.8781,0.341,0.54,2,top_30,30,33984,2920,enet
ElasticNet,5.324,6.838,3.791,3.81,0.9785,0.371,0.71,3,top_30,30,36904,2920,enet
ElasticNet,5.838,7.45,4.115,4.2,0.9705,0.495,0.68,4,top_30,30,39824,2920,enet
ElasticNet,10.349,17.172,6.616,6.454,0.8561,0.404,0.7,5,top_30,30,42744,2920,enet
ElasticNet,5.773,7.334,3.92,3.905,0.9847,0.389,0.94,6,top_30,30,45664,2920,enet
ElasticNet,5.828,7.503,3.955,4.01,0.9736,0.471,1.13,7,top_30,30,48584,2920,enet
ElasticNet,9.39,14.236,6.182,6.024,0.9039,0.335,0.98,8,top_30,30,51504,2920,enet
ElasticNet,5.435,6.941,3.789,3.769,0.9853,0.402,1.13,9,top_30,30,54424,2920,enet
ElasticNet,6.056,9.25,6.052,5.129,0.96,0.472,1.18,10,top_30,30,57344,2920,enet
ElasticNet,5.552,7.211,3.677,3.724,0.9707,0.421,0.91,1,top_50,50,31064,2920,enet
ElasticNet,8.591,13.505,5.825,5.754,0.8954,0.311,0.97,2,top_50,50,33984,2920,enet
ElasticNet,4.905,6.294,3.423,3.46,0.9818,0.342,0.92,3,top_50,50,36904,2920,enet
ElasticNet,4.887,6.512,3.4,3.455,0.9775,0.414,1.18,4,top_50,50,39824,2920,enet
ElasticNet,9.684,16.038,6.245,6.049,0.8745,0.378,1.19,5,top_50,50,42744,2920,enet
ElasticNet,5.291,6.807,3.522,3.536,0.9868,0.356,1.2,6,top_50,50,45664,2920,enet
ElasticNet,5.195,6.678,3.548,3.565,0.9791,0.42,1.43,7,top_50,50,48584,2920,enet
ElasticNet,8.406,12.914,5.499,5.356,0.9209,0.3,1.56,8,top_50,50,51504,2920,enet
ElasticNet,4.822,6.253,3.3,3.29,0.9881,0.356,1.6,9,top_50,50,54424,2920,enet
ElasticNet,5.467,8.585,5.631,4.695,0.9656,0.426,1.73,10,top_50,50,57344,2920,enet
ElasticNet,4.954,6.507,3.301,3.311,0.9762,0.376,4.52,1,all,115,31064,2920,enet
ElasticNet,7.262,10.903,5.088,4.993,0.9319,0.263,4.72,2,all,115,33984,2920,enet
ElasticNet,4.609,5.857,3.288,3.261,0.9843,0.321,6.61,3,all,115,36904,2920,enet
ElasticNet,4.44,5.739,3.141,3.138,0.9825,0.377,7.01,4,all,115,39824,2920,enet
ElasticNet,7.873,12.103,5.204,5.04,0.9285,0.307,6.46,5,all,115,42744,2920,enet
ElasticNet,5.199,6.597,3.588,3.526,0.9876,0.35,10.85,6,all,115,45664,2920,enet
ElasticNet,4.941,6.22,3.418,3.392,0.9818,0.399,10.19,7,all,115,48584,2920,enet
ElasticNet,6.697,9.775,4.449,4.342,0.9547,0.239,8.49,8,all,115,51504,2920,enet
ElasticNet,4.682,5.997,3.278,3.231,0.989,0.346,9.69,9,all,115,54424,2920,enet
ElasticNet,5.165,8.072,5.344,4.439,0.9696,0.403,9.26,10,all,115,57344,2920,enet
ElasticNet,30.18,39.951,18.674,19.35,0.1019,2.291,0.03,1,calendar_only,8,31064,2920,enet
ElasticNet,34.738,44.477,23.561,23.644,-0.1341,1.256,0.02,2,calendar_only,8,33984,2920,enet
ElasticNet,32.807,40.882,22.954,22.365,0.2331,2.284,0.02,3,calendar_only,8,36904,2920,enet
ElasticNet,30.142,39.822,20.712,20.171,0.1567,2.556,0.04,4,calendar_only,8,39824,2920,enet
ElasticNet,40.759,50.483,24.931,26.175,-0.2439,1.591,0.04,5,calendar_only,8,42744,2920,enet
ElasticNet,44.218,55.948,27.709,27.971,0.1103,2.976,0.04,6,calendar_only,8,45664,2920,enet
ElasticNet,32.024,42.473,20.258,20.431,0.1529,2.586,0.04,7,calendar_only,8,48584,2920,enet
ElasticNet,40.885,50.613,25.015,25.959,-0.2151,1.46,0.05,8,calendar_only,8,51504,2920,enet
ElasticNet,42.035,52.341,27.607,27.114,0.1629,3.107,0.05,9,calendar_only,8,54424,2920,enet
ElasticNet,35.666,43.796,30.746,25.267,0.1043,2.78,0.03,10,calendar_only,8,57344,2920,enet
ElasticNet,7.133,9.475,4.679,4.676,0.9495,0.541,0.03,1,lag_only,7,31064,2920,enet
ElasticNet,13.743,20.888,9.414,9.189,0.7499,0.497,0.03,2,lag_only,7,33984,2920,enet
ElasticNet,7.337,9.222,5.212,5.2,0.961,0.511,0.02,3,lag_only,7,36904,2920,enet
ElasticNet,6.303,8.267,4.407,4.382,0.9637,0.535,0.03,4,lag_only,7,39824,2920,enet
ElasticNet,14.391,24.92,9.188,8.861,0.6969,0.562,0.03,5,lag_only,7,42744,2920,enet
