model,MAE,RMSE,MAPE,sMAPE,R2,MASE,train_time_s,fold,subset_name,n_features,train_rows,test_rows,model_key
LSTM,9.24,17.239,6.334,6.137,0.8296,0.334,2642.73,2,all,118,33984,2920,lstm
LSTM,3.375,4.332,2.533,2.519,0.9914,0.235,2793.64,3,all,118,36904,2920,lstm
LSTM,4.126,5.956,2.955,2.903,0.9811,0.35,3081.39,4,all,118,39824,2920,lstm
LSTM,11.737,21.869,7.436,7.149,0.7666,0.458,2371.12,5,all,118,42744,2920,lstm
LSTM,4.502,5.902,3.081,3.044,0.9901,0.303,4068.13,6,all,118,45664,2920,lstm
LSTM,2.896,4.02,2.008,2.006,0.9924,0.234,4351.15,7,all,118,48584,2920,lstm
LSTM,9.146,17.01,6.044,5.672,0.8628,0.327,3864.83,8,all,118,51504,2920,lstm
LSTM,3.953,5.052,2.967,2.908,0.9922,0.292,4133.57,9,all,118,54424,2920,lstm
LSTM,4.626,9.476,5.838,4.07,0.9581,0.361,4602.58,10,all,118,57344,2920,lstm
LSTM,3.47,4.931,2.313,2.316,0.9863,0.263,2617.35,1,calendar_only,8,31064,2920,lstm
LSTM,9.888,17.79,6.886,6.615,0.8186,0.358,2851.63,2,calendar_only,8,33984,2920,lstm
LSTM,3.464,4.458,2.646,2.617,0.9909,0.241,3076.02,3,calendar_only,8,36904,2920,lstm
LSTM,3.648,4.874,2.678,2.652,0.9874,0.309,3414.99,4,calendar_only,8,39824,2920,lstm
LSTM,11.838,22.193,7.501,7.162,0.7596,0.462,3595.67,5,calendar_only,8,42744,2920,lstm
LSTM,3.816,5.02,2.731,2.696,0.9928,0.257,3661.71,6,calendar_only,8,45664,2920,lstm
LSTM,3.082,4.25,2.132,2.132,0.9915,0.249,4354.62,7,calendar_only,8,48584,2920,lstm
LSTM,9.116,17.394,5.98,5.637,0.8565,0.326,4812.34,8,calendar_only,8,51504,2920,lstm
LSTM,3.192,4.121,2.277,2.258,0.9948,0.236,4772.56,9,calendar_only,8,54424,2920,lstm
LSTM,3.714,7.475,4.77,3.403,0.9739,0.289,5052.45,10,calendar_only,8,57344,2920,lstm
LSTM,3.728,5.305,2.453,2.454,0.9842,0.283,2718.4,1,lag_only,7,31064,2920,lstm
LSTM,9.137,17.374,6.1,5.979,0.827,0.33,3278.22,2,lag_only,7,33984,2920,lstm
LSTM,3.811,4.839,2.967,2.923,0.9893,0.265,3102.28,3,lag_only,7,36904,2920,lstm
LSTM,3.14,4.341,2.275,2.269,0.99,0.266,3621.89,4,lag_only,7,39824,2920,lstm
LSTM,12.322,22.76,7.64,7.435,0.7472,0.481,4206.62,5,lag_only,7,42744,2920,lstm
