model,subset,n_features,n_folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
gru,zabin_22,22,10,11.7011,5.2339,15.8256,7.4121,7.7081,2.8598,0.8574,0.1512
lasso,all,115,10,5.1073,1.0991,7.2716,2.337,3.7319,0.8569,0.9721,0.0212
lasso,top_50,50,10,5.4226,1.3403,7.7448,2.7643,3.8731,0.8798,0.9674,0.027
lasso,top_30,30,10,5.8685,1.3266,8.4068,3.1162,4.2172,0.8282,0.9613,0.0333
lasso,top_20,20,10,6.5579,3.0992,10.4736,7.0461,4.4816,1.8506,0.9232,0.0993
lasso,top_10,10,10,7.0593,3.2832,11.5017,7.9839,4.8032,1.96,0.906,0.1246
lasso,top_5,5,10,7.5827,3.0352,12.2461,7.8202,5.14,1.8788,0.8991,0.1277
lasso,lag_only,7,10,7.7072,3.1399,12.2284,7.6241,5.2652,1.9464,0.9007,0.1239
lasso,zabin_22,22,10,9.8889,4.4529,14.334,7.7566,6.7426,2.7413,0.8724,0.1439
lasso,calendar_only,8,10,36.2912,5.2372,46.0368,5.8142,24.1693,3.7342,0.0437,0.1803
lgb,all,115,10,2.1744,0.7307,3.6588,1.7347,1.6381,0.7723,0.9921,0.0076
lgb,top_50,50,10,2.636,1.0098,4.3443,2.0476,1.9147,0.8123,0.9888,0.0108
lgb,top_30,30,10,3.0892,0.964,4.9039,1.9739,2.2226,0.8157,0.9864,0.012
lgb,top_10,10,10,3.8478,1.5257,6.179,2.8842,2.7139,0.9897,0.9774,0.0222
lgb,top_20,20,10,3.8928,1.46,6.1476,2.7609,2.7557,1.0058,0.9779,0.021
lgb,top_5,5,10,5.3374,3.243,9.4667,7.3145,3.6581,1.9643,0.9314,0.0962
lgb,lag_only,7,10,5.4351,3.2576,9.567,7.3055,3.7385,1.9941,0.9305,0.0968
lgb,zabin_22,22,10,5.8886,3.7532,9.8938,7.1464,4.048,2.2814,0.928,0.0956
lgb,calendar_only,8,10,23.6481,6.6505,31.9051,8.0048,15.6607,3.8443,0.4985,0.2904
lstm,top_10,10,10,5.3863,3.082,9.0717,6.7253,3.8104,1.8949,0.939,0.0834
lstm,top_5,5,10,5.5089,3.0956,9.1407,6.7735,3.8589,1.9179,0.9375,0.0849
lstm,top_50,50,10,5.5046,3.1993,9.252,6.918,3.9334,1.9856,0.9358,0.0878
lstm,lag_only,7,10,5.6273,3.3173,9.3239,6.9769,3.9348,1.9424,0.9352,0.0901
lstm,zabin_22,22,10,5.5937,3.3768,9.2541,7.0777,3.9475,2.0401,0.9345,0.0901
lstm,calendar_only,8,10,5.5228,3.3564,9.2506,6.9912,3.9914,2.0975,0.9352,0.0886
lstm,top_30,30,10,5.7858,3.1151,9.5419,6.7183,4.0858,1.9304,0.9355,0.0851
lstm,top_20,20,10,5.9024,3.2777,9.7778,6.8997,4.1292,1.9417,0.933,0.0889
lstm,all,118,10,5.7414,3.0873,9.6229,6.5676,4.1675,1.9991,0.9348,0.0833
mlp,top_50,50,10,2.6793,1.0469,4.0297,1.7642,1.942,0.714,0.9906,0.0088
mlp,top_30,30,10,2.9125,0.902,4.4662,1.7133,2.1405,0.6977,0.989,0.0093
mlp,all,115,10,2.8533,0.881,4.1586,1.6358,2.18,0.8174,0.9904,0.0081
mlp,top_10,10,10,3.8512,1.7754,6.3612,3.7151,2.7217,1.0957,0.9734,0.0315
